Data;FasePlanoSP
2020-06-03;Laranja
2020-06-04;Laranja
2020-06-05;Laranja
2020-06-06;Laranja
2020-06-07;Laranja
2020-06-08;Laranja
2020-06-09;Laranja
2020-06-10;Laranja
2020-06-11;Laranja
2020-06-12;Laranja
2020-06-13;Laranja
2020-06-14;Laranja
2020-06-15;Laranja
2020-06-16;Laranja
2020-06-17;Laranja
2020-06-18;Laranja
2020-06-19;Laranja
2020-06-20;Laranja
2020-06-21;Laranja
2020-06-22;Laranja
2020-06-23;Laranja
2020-06-24;Laranja
2020-06-25;Laranja
2020-06-26;Laranja
2020-06-27;Laranja
2020-06-28;Laranja
2020-06-29;Amarela
2020-06-30;Amarela
2020-07-01;Amarela
2020-07-02;Amarela
2020-07-03;Amarela
2020-07-04;Amarela
2020-07-05;Amarela
2020-07-06;Amarela
2020-07-07;Amarela
2020-07-08;Amarela
2020-07-09;Amarela
2020-07-10;Amarela
2020-07-11;Amarela
2020-07-12;Amarela
2020-07-13;Amarela
2020-07-14;Amarela
2020-07-15;Amarela
2020-07-16;Amarela
2020-07-17;Amarela
2020-07-18;Amarela
2020-07-19;Amarela
2020-07-20;Amarela
2020-07-21;Amarela
2020-07-22;Amarela
2020-07-23;Amarela
2020-07-24;Amarela
2020-07-25;Amarela
2020-07-26;Amarela
2020-07-27;Amarela
2020-07-28;Amarela
2020-07-29;Amarela
2020-07-30;Amarela
